"Rank","Name","W","L","Pct"
"177","New Orleans","29","18-11","2122","73.2"
"178","Rhode Island","30","21-9","2193","73.1"
"179","Boston U.","32","18-14","2339","73.1"
"180","Mississippi St.","31","16-15","2265","73.1"
"181","Baylor","31","25-6","2263","73.0"
"182","Oklahoma","31","11-20","2262","73.0"
"183","Pittsburgh","33","16-17","2404","72.8"
"184","Coastal Caro.","32","16-16","2331","72.8"
"185","Missouri St.","33","17-16","2403","72.8"
"186","Ohio St.","32","17-15","2329","72.8"
"187","Fairleigh Dickinson","30","11-19","2183","72.8"
"188","Sacred Heart","32","13-19","2326","72.7"
"189","South Carolina","31","22-9","2253","72.7"
"190","Army West Point","32","13-19","2324","72.6"
"191","NJIT","31","11-20","2251","72.6"
"192","Boston College","32","9-23","2320","72.5"
"193","Kansas St.","31","19-12","2247","72.5"
"","Georgia","31","18-13","2247","72.5"
"195","Tennessee Tech","32","12-20","2317","72.4"
"196","Colorado St.","31","21-10","2244","72.4"
"","Wisconsin","31","23-8","2244","72.4"
"198","Penn St.","32","15-17","2316","72.4"
"199","Albany (NY)","33","21-12","2388","72.4"
"200","Illinois","31","18-13","2242","72.3"
"201","Fairfield","30","16-14","2168","72.3"
"202","UAB","32","17-15","2312","72.3"
"203","Massachusetts","32","15-17","2311","72.2"
"204","Northern Ill.","32","15-17","2310","72.2"
"205","Princeton","27","21-6","1948","72.1"
"206","UMES","32","13-19","2308","72.1"
"207","Northeastern","31","15-16","2234","72.1"
"208","St. Mary's (CA)","32","28-4","2304","72.0"
"","Grambling","32","16-16","2304","72.0"
"210","Michigan St.","31","18-13","2231","72.0"
"211","Southern U.","32","15-17","2301","71.9"
"212","Harvard","27","18-9","1941","71.9"
"213","Western Ill.","28","8-20","2012","71.9"
"214","Columbia","27","11-16","1940","71.9"
"215","Utah St.","29","13-16","2082","71.8"
"216","Florida A&M","30","7-23","2153","71.8"
"217","Vanderbilt","31","17-14","2223","71.7"
"218","Northern Colo.","29","11-18","2075","71.6"
"219","Cornell","29","8-21","2074","71.5"
"220","San Francisco","32","20-12","2286","71.4"
"221","Northwestern","31","21-10","2214","71.4"
"","UC Davis","31","19-12","2214","71.4"
"223","South Ala.","32","14-18","2284","71.4"
"224","CSU Bakersfield","29","21-8","2066","71.2"
"225","Drake","31","7-24","2208","71.2"
"226","LIU Brooklyn","32","20-12","2278","71.2"
"227","Texas A&M","30","16-14","2135","71.2"
"228","New Hampshire","32","20-12","2277","71.2"
"229","Sacramento St.","30","13-17","2134","71.1"
"","Tennessee St.","30","17-13","2134","71.1"
"231","Campbell","34","17-17","2418","71.1"
"232","Bethune-Cookman","32","10-22","2275","71.1"
"233","Temple","31","16-15","2200","71.0"
"234","Southeastern La.","32","16-16","2268","70.9"
"235","Eastern Ky.","31","12-19","2197","70.9"
"236","Mercer","32","15-17","2267","70.8"
"237","Providence","31","20-11","2190","70.6"
"238","Tulane","30","6-24","2119","70.6"
"239","Manhattan","32","10-22","2259","70.6"
"240","UC Irvine","32","19-13","2258","70.6"
"241","Duquesne","32","10-22","2256","70.5"
"242","McNeese","29","7-22","2043","70.4"
"243","Loyola Marymount","30","15-15","2113","70.4"
"244","Norfolk St.","31","16-15","2183","70.4"
"","George Washington","31","18-13","2183","70.4"
"246","Washington St.","31","13-18","2179","70.3"
"247","Miami (OH)","32","11-21","2249","70.3"
"248","Seattle U","29","13-16","2038","70.3"
"249","Fla. Atlantic","30","10-20","2108","70.3"
"250","FIU","31","7-24","2178","70.3"
"251","Indiana St.","31","11-20","2170","70.0"
"252","Nebraska","31","12-19","2168","69.9"
"253","Miami (FL)","31","21-10","2167","69.9"
"","South Carolina St.","31","11-20","2167","69.9"
"255","SFA","30","17-13","2095","69.8"
"256","Idaho St.","31","5-26","2164","69.8"
"257","Mississippi Val.","32","7-25","2233","69.8"
"258","Stanford","31","14-17","2162","69.7"
"259","Jacksonville St.","34","20-14","2371","69.7"
"260","Alcorn","30","17-13","2090","69.7"
"261","Hampton","29","14-15","2016","69.5"
"262","Saint Joseph's","31","11-20","2155","69.5"
"263","Marist","32","8-24","2223","69.5"
"264","Evansville","33","16-17","2288","69.3"
"265","Northern Ariz.","32","9-23","2218","69.3"
"266","UTEP","30","14-16","2075","69.2"
"","North Texas","30","8-22","2075","69.2"
"268","Stony Brook","31","18-13","2144","69.2"
"269","Penn","27","13-14","1864","69.0"
"270","Pepperdine","31","9-22","2140","69.0"
"271","Western Ky.","32","15-17","2209","69.0"
"272","Missouri","31","8-23","2139","69.0"
"273","Prairie View","33","13-20","2276","69.0"
"274","DePaul","32","9-23","2206","68.9"
"275","Col. of Charleston","34","25-9","2342","68.9"
"276","Illinois St.","33","27-6","2271","68.8"
"277","UNLV","32","11-21","2202","68.8"
"278","High Point","31","15-16","2133","68.8"
"279","VMI","30","6-24","2057","68.6"
"280","Southern Ill.","33","17-16","2260","68.5"
"281","Alabama","30","17-13","2053","68.4"
"282","Little Rock","32","15-17","2188","68.4"
"283","Mt. St. Mary's","34","19-15","2323","68.3"
"284","Delaware St.","32","10-22","2186","68.3"
"285","Hawaii","29","14-15","1980","68.3"
"286","Wagner","30","16-14","2047","68.2"
"287","SIUE","30","6-24","2044","68.1"
"288","San Diego St.","31","18-13","2110","68.1"
"289","Binghamton","32","12-20","2175","68.0"
"290","California","31","20-11","2107","68.0"
"291","Tulsa","30","14-16","2031","67.7"
"292","Texas St.","30","18-12","2030","67.7"
"293","Morgan St.","29","14-15","1960","67.6"
"294","Cal Poly","30","11-19","2027","67.6"
"295","Texas","32","11-21","2162","67.6"
"296","Longwood","30","6-24","2018","67.3"
"297","Cleveland St.","31","9-22","2083","67.2"
"298","Portland","33","11-22","2215","67.1"
"299","Dartmouth","27","7-20","1812","67.1"
"300","La.-Monroe","32","9-23","2147","67.1"
"301","Milwaukee","35","11-24","2347","67.1"
"302","Colgate","32","10-22","2145","67.0"
"303","Georgia Tech","32","17-15","2144","67.0"
"304","UCF","30","20-10","2008","66.9"
"305","Virginia","31","22-9","2073","66.9"
"306","Pacific","33","11-22","2206","66.8"
"307","Santa Clara","33","17-16","2204","66.8"
"308","Hartford","32","9-23","2136","66.8"
"309","UConn","30","14-16","1998","66.6"
"310","Saint Peter's","32","19-13","2129","66.5"
"311","Lafayette","30","9-21","1995","66.5"
"312","James Madison","33","10-23","2194","66.5"
"313","Coppin St.","33","8-25","2192","66.4"
"314","Liberty","32","19-13","2124","66.4"
"315","UTSA","32","14-18","2108","65.9"
"316","Alabama St.","31","8-23","2042","65.9"
"317","Loyola Maryland","31","15-16","2039","65.8"
"318","Rutgers","32","15-17","2102","65.7"
"319","Chicago St.","31","6-25","2036","65.7"
"320","Bradley","33","13-20","2163","65.5"
"321","Delaware","33","13-20","2157","65.4"
"322","San Diego","31","13-18","2025","65.3"
"323","Radford","32","14-18","2090","65.3"
"324","Fordham","31","13-18","2019","65.1"
"325","Navy","32","16-16","2076","64.9"
