"Rank","Name","W","L","Pct"
"","Illinois St.","33","27-6","271","747"
"","Colgate","32","10-22","271","732"
"","Villanova","31","28-3","271","736"
"71","Lehigh","32","20-12","270","689"
"","Drake","31","7-24","270","784"
"","Missouri St.","33","17-16","270","742"
"74","Kansas","31","28-3","269","659"
"","Indiana","31","17-14","269","715"
"","St. John's (NY)","32","14-18","269","741"
"77","Northeastern","31","15-16","267","728"
"78","Duke","32","24-8","266","716"
"","UT Martin","33","21-12","266","763"
"80","UTRGV","31","10-21","265","792"
"","Iowa","31","18-13","265","712"
"","Weber St.","29","17-12","265","641"
"","Davidson","29","15-14","265","778"
"84","UT Arlington","31","24-7","264","772"
"85","Southeast Mo. St.","33","15-18","263","716"
"","Pittsburgh","33","16-17","263","729"
"","Delaware St.","32","10-22","263","727"
"","Hartford","32","9-23","263","777"
"89","Campbell","34","17-17","262","717"
"90","Stetson","32","11-21","261","770"
"91","Air Force","32","12-20","260","707"
"92","Loyola Chicago","32","18-14","259","666"
"","Maryland","31","24-7","259","714"
"","Wake Forest","32","19-13","259","670"
"","Eastern Ill.","29","14-15","259","696"
"96","NJIT","31","11-20","258","775"
"","UNC Asheville","32","23-9","258","652"
"","San Diego","31","13-18","258","741"
"99","Utah Valley","29","14-15","257","792"
"100","ETSU","34","27-7","256","669"
"","Drexel","32","9-23","256","741"
"","Eastern Wash.","31","21-10","256","673"
"","Saint Peter's","32","19-13","256","668"
"","Boston College","32","9-23","256","684"
"","New Hampshire","32","20-12","256","727"
"106","Saint Francis (PA)","32","16-16","255","658"
"","Houston","30","21-9","255","647"
"","Fordham","31","13-18","255","765"
"109","Seattle U","29","13-16","254","735"
"","Northern Colo.","29","11-18","254","736"
"","Western Ill.","28","8-20","254","654"
"","Indiana St.","31","11-20","254","725"
"113","SMU","31","27-4","253","628"
"114","UMES","32","13-19","252","721"
"115","Cal Poly","30","11-19","251","737"
"","Appalachian St.","30","9-21","251","744"
"","Detroit Mercy","31","8-23","251","675"
"118","Youngstown St.","34","13-21","250","750"
"","Lamar University","32","19-13","250","695"
"120","George Washington","31","18-13","249","663"
"","Fairfield","30","16-14","249","743"
"122","VMI","30","6-24","248","786"
"","Jacksonville St.","34","20-14","248","666"
"","Binghamton","32","12-20","248","685"
"125","Louisiana Tech","31","22-9","247","676"
"","Radford","32","14-18","247","716"
"127","Mt. St. Mary's","34","19-15","246","690"
"","Southern California","31","23-8","246","672"
"129","Mississippi St.","31","16-15","245","699"
"","Stony Brook","31","18-13","245","735"
"","La Salle","29","15-14","245","679"
"","Toledo","32","17-15","245","678"
"","Marist","32","8-24","245","736"
"134","Mercer","32","15-17","244","698"
"","Brown","30","13-17","244","665"
"","Ill.-Chicago","33","15-18","244","670"
"","Niagara","33","10-23","244","667"
"","Cornell","29","8-21","244","720"
"139","Michigan St.","31","18-13","243","637"
"140","Florida","31","24-7","242","662"
"141","Tennessee Tech","32","12-20","241","743"
"","Dayton","30","24-6","241","626"
"","Gonzaga","33","32-1","241","631"
"144","N.C. Central","31","23-8","240","703"
"145","Northern Ariz.","32","9-23","239","745"
"","UC Irvine","32","19-13","239","656"
"147","Prairie View","33","13-20","237","678"
"","Idaho St.","31","5-26","237","660"
"","Bryant","32","12-20","237","702"
"","Charlotte","30","13-17","237","630"
"151","Holy Cross","32","15-17","236","685"
"","Ole Miss","31","19-12","236","686"
"153","Boise St.","29","19-10","235","665"
"","Portland St.","30","15-15","235","676"
"","Eastern Ky.","31","12-19","235","733"
"","Buffalo","31","17-14","235","712"
"157","Richmond","30","19-11","234","688"
"","Illinois","31","18-13","234","635"
"","North Carolina","32","26-6","234","633"
"160","Colorado","32","19-13","233","660"
"","Cincinnati","31","27-4","233","671"
"","Butler","30","23-7","233","633"
"","West Virginia","31","24-7","233","647"
"164","Kent St.","32","19-13","232","727"
"","Coppin St.","33","8-25","232","733"
"","Clemson","32","17-15","232","649"
"","North Dakota St.","30","19-11","232","630"
"","La.-Monroe","32","9-23","232","687"
"169","TCU","32","18-14","231","653"
"","Chattanooga","31","19-12","231","667"
"171","Montana","31","16-15","230","648"
"","Central Ark.","32","8-24","230","614"
"173","Wisconsin","31","23-8","229","657"
"","Georgia St.","30","19-11","229","632"
"","UNI","30","14-16","229","702"
"176","Quinnipiac","31","10-21","228","700"
"","Charleston So.","31","12-19","228","669"
"","Massachusetts","32","15-17","228","765"
"","Bethune-Cookman","32","10-22","228","712"
"180","Austin Peay","30","11-19","227","640"
"","Oakland","32","24-8","227","688"
"182","Providence","31","20-11","226","604"
"","Penn","27","13-14","226","663"
"","Penn St.","32","15-17","226","664"
"","Duquesne","32","10-22","226","677"
"","North Carolina St.","32","15-17","226","635"
"","Louisiana","32","21-11","226","647"
"188","Saint Louis","32","12-20","225","650"
"","Xavier","32","20-12","225","667"
"190","New Mexico St.","30","25-5","224","667"
"","Idaho","29","17-12","224","612"
"","Louisville","31","24-7","224","615"
"193","Kentucky","31","26-5","223","634"
"","Denver","30","16-14","223","555"
"","South Ala.","32","14-18","223","702"
"","Kansas St.","31","19-12","223","614"
"197","Northwestern","31","21-10","222","658"
"","Tulsa","30","14-16","222","646"
"199","St. Francis Brooklyn","31","4-27","221","792"
"","Lafayette","30","9-21","221","661"
"201","Harvard","27","18-9","220","609"
"","Arkansas St.","32","20-12","220","579"
"","Bowling Green","32","13-19","220","644"
"204","Morehead St.","30","14-16","219","568"
"","BYU","33","22-11","219","636"
"","Florida St.","31","24-7","219","606"
"","Cleveland St.","31","9-22","219","709"
"","San Diego St.","31","18-13","219","703"
"209","Jackson St.","32","14-18","218","730"
"","Washington","30","9-21","218","621"
"211","South Dakota","33","22-11","217","639"
"","Virginia","31","22-9","217","551"
"","Bradley","33","13-20","217","609"
"","Loyola Marymount","30","15-15","217","614"
"215","Tulane","30","6-24","216","662"
"","Oral Roberts","30","8-22","216","588"
"","Utah St.","29","13-16","216","580"
"218","Southeastern La.","32","16-16","215","593"
"","Colorado St.","31","21-10","215","621"
"220","Valparaiso","32","24-8","214","651"
"","Portland","33","11-22","214","573"
"","Western Ky.","32","15-17","214","605"
"223","Alcorn","30","17-13","213","639"
"","UNLV","32","11-21","213","666"
"","Missouri","31","8-23","213","710"
"","FGCU","33","26-7","213","608"
"","Vermont","33","28-5","213","578"
"228","Maine","32","7-25","212","665"
"","Texas Tech","32","18-14","212","575"
"","South Carolina","31","22-9","212","622"
"231","Columbia","27","11-16","211","587"
"","Ohio St.","32","17-15","211","592"
"233","Manhattan","32","10-22","209","637"
"","Baylor","31","25-6","209","584"
"","Gardner-Webb","33","19-14","209","552"
"","Col. of Charleston","34","25-9","209","633"
"","Hawaii","29","14-15","209","641"
"","Washington St.","31","13-18","209","574"
"239","Eastern Mich.","32","16-16","208","600"
"","Chicago St.","31","6-25","208","660"
"","Ark.-Pine Bluff","32","7-25","208","621"
"","James Madison","33","10-23","208","629"
"243","Little Rock","32","15-17","207","599"
"","UCF","30","20-10","207","614"
"245","Georgetown","32","14-18","206","590"
"","Arkansas","31","23-8","206","558"
"","Kennesaw St.","32","14-18","206","495"
"","Navy","32","16-16","206","670"
"249","Long Beach St.","32","14-18","204","584"
"","Fla. Atlantic","30","10-20","204","640"
"","Norfolk St.","31","16-15","204","606"
"252","Northwestern St.","29","13-16","203","554"
"","California","31","20-11","203","610"
"","Oregon St.","32","5-27","203","586"
"","Arizona","31","27-4","203","520"
"256","UConn","30","14-16","202","579"
"","UC Davis","31","19-12","202","559"
"","Alabama","30","17-13","202","641"
"259","Utah","30","20-10","201","568"
"","Fairleigh Dickinson","30","11-19","201","606"
"","Western Mich.","31","16-15","201","544"
"262","Southern Miss.","31","9-22","200","655"
"","Sam Houston St.","32","20-12","200","627"
"","Sacred Heart","32","13-19","200","597"
"","Alabama St.","31","8-23","200","674"
"","N.C. A&T","32","3-29","200","609"
"","Miami (FL)","31","21-10","200","550"
"268","Dartmouth","27","7-20","199","563"
"","Miami (OH)","32","11-21","199","647"
"","Yale","27","17-10","199","549"
"271","UAB","32","17-15","197","559"
"272","Middle Tenn.","31","27-4","196","538"
"","Delaware","33","13-20","196","644"
"","High Point","31","15-16","196","520"
"","Minnesota","31","23-8","196","565"
"","LSU","31","10-21","196","584"
"277","McNeese","29","7-22","195","588"
"278","North Dakota","28","19-9","193","510"
"","San Jose St.","29","14-15","193","555"
"","Green Bay","31","18-13","193","591"
"281","St. Bonaventure","30","19-11","192","546"
"","Oklahoma","31","11-20","192","559"
"","Texas Southern","32","21-11","192","644"
"284","East Carolina","31","14-17","191","617"
"285","Fresno St.","30","19-11","188","532"
"286","Florida A&M","30","7-23","187","538"
"","Texas A&M","30","16-14","187","560"
"288","Texas St.","30","18-12","186","553"
"","Siena","34","17-17","186","568"
"","Longwood","30","6-24","186","568"
"","North Texas","30","8-22","186","582"
"292","Pacific","33","11-22","185","560"
"","Houston Baptist","29","17-12","185","536"
"","South Carolina St.","31","11-20","185","578"
"","Hampton","29","14-15","185","578"
"","Seton Hall","30","20-10","185","551"
"297","CSU Bakersfield","29","21-8","184","539"
"","DePaul","32","9-23","184","564"
"","LIU Brooklyn","32","20-12","184","534"
"300","Robert Morris","33","14-19","183","574"
"","Wagner","30","16-14","183","552"
"302","Grambling","32","16-16","182","569"
"","Rhode Island","30","21-9","182","555"
"","Tennessee","31","16-15","182","554"
"","Western Caro.","32","9-23","182","592"
"306","FIU","31","7-24","181","545"
"","Presbyterian","30","5-25","181","523"
"","Cal St. Fullerton","29","16-13","181","576"
"","VCU","31","24-7","181","547"
"","Albany (NY)","33","21-12","181","480"
"311","SFA","30","17-13","179","558"
"","Nebraska","31","12-19","179","560"
"","Rider","33","18-15","179","539"
"314","Pepperdine","31","9-22","178","482"
"315","Memphis","31","19-12","177","596"
"316","Texas","32","11-21","176","603"
"317","Southern Ill.","33","17-16","175","554"
"318","Saint Joseph's","31","11-20","174","537"
"","Mississippi Val.","32","7-25","174","508"
"320","UTEP","30","14-16","171","492"
"321","Tennessee St.","30","17-13","170","501"
"322","George Mason","31","19-12","169","494"
"323","American","30","8-22","168","529"
"324","South Fla.","29","7-22","167","484"
"325","Howard","33","10-23","166","575"
"326","UTSA","32","14-18","164","587"
"327","Georgia","31","18-13","163","497"
"328","Loyola Maryland","31","15-16","162","492"
"329","Northern Ill.","32","15-17","161","516"
"","Southern U.","32","15-17","161","492"
"331","UC Riverside","27","7-20","158","504"
"332","Sacramento St.","30","13-17","157","493"
"","Stanford","31","14-17","157","490"
"334","Morgan St.","29","14-15","155","526"
"","Towson","33","20-13","155","499"
"336","A&M-Corpus Christi","29","19-10","154","461"
"","UC Santa Barbara","28","6-22","154","531"
"338","Old Dominion","30","19-11","151","471"
"339","Central Conn. St.","29","6-23","146","416"
"340","Georgia Tech","32","17-15","144","438"
"341","Rutgers","32","15-17","143","483"
"342","SIUE","30","6-24","142","486"
"343","CSUN","29","11-18","141","397"
"","New Mexico","30","17-13","141","431"
"345","New Orleans","29","18-11","132","404"
"346","Evansville","33","16-17","127","347"
"347","Alabama A&M","29","2-27","125","457"
Reclassifying
"NR","UMass Lowell","31","11-20","258","662"
"NR","Incarnate Word","29","12-17","233","601"
"NR","Abilene Christian","29","13-16","207","550"
"NR","Grand Canyon","31","22-9","205","619"

NCAA Men's Basketball
Division ITotal Steals
Through Games 03/08/2017


"Rank","Name","GM","W-L","ST"
"1","West Virginia","31","24-7","337"
"2","Eastern Mich.","32","16-16","312"
"3","Fordham","31","13-18","308"
"4","The Citadel","33","12-21","306"
"5","Holy Cross","32","15-17","302"
"6","UNC Asheville","32","23-9","300"
"7","Portland St.","30","15-15","298"
"8","Gardner-Webb","33","19-14","291"
"9","ETSU","34","27-7","284"
"10","Grambling","32","16-16","280"
"11","Ark.-Pine Bluff","32","7-25","279"
"12","Prairie View","33","13-20","273"
"13","Boston U.","32","18-14","265"
"","A&M-Corpus Christi","29","19-10","265"
"15","Omaha","32","18-14","262"
"16","Robert Morris","33","14-19","261"
"17","Jacksonville","32","17-15","259"
"","Oakland","32","24-8","259"
"","Lamar University","32","19-13","259"
"20","Fresno St.","30","19-11","257"
"21","Syracuse","32","18-14","256"
"22","Kansas St.","31","19-12","250"
"23","Southeast Mo. St.","33","15-18","248"
"24","Massachusetts","32","15-17","246"
"","Fort Wayne","31","19-12","246"
"26","CSU Bakersfield","29","21-8","245"
"","Bethune-Cookman","32","10-22","245"
"","South Carolina","31","22-9","245"
"29","Bucknell","34","26-8","244"
"30","Iowa St.","30","20-10","242"
"","Oklahoma St.","31","20-11","242"
"32","UTRGV","31","10-21","241"
"","Chattanooga","31","19-12","241"
"34","South Ala.","32","14-18","240"
"","Dayton","30","24-6","240"
"36","Green Bay","31","18-13","239"
"37","VCU","31","24-7","238"
"","Miami (OH)","32","11-21","238"
"39","UNCG","34","25-9","237"
"","Illinois St.","33","27-6","237"
"41","Gonzaga","33","32-1","236"
"","Florida","31","24-7","236"
"","Cincinnati","31","27-4","236"
"","Auburn","32","18-14","236"
"45","Iona","34","22-12","235"
"46","Nicholls St.","31","14-17","234"
"","Mississippi St.","31","16-15","234"
"48","Wichita St.","34","30-4","233"
"49","UNCW","34","29-5","232"
"50","Iowa","31","18-13","231"
"","Sam Houston St.","32","20-12","231"
"52","Monmouth","33","27-6","230"
"","Arkansas","31","23-8","230"
"54","Loyola Marymount","30","15-15","228"
"","Hartford","32","9-23","228"
"","Brown","30","13-17","228"
"57","Florida St.","31","24-7","227"
"","Campbell","34","17-17","227"
"","Clemson","32","17-15","227"
"","Navy","32","16-16","227"
"61","Louisiana","32","21-11","226"
"","Towson","33","20-13","226"
"","Northern Ill.","32","15-17","226"
"","Savannah St.","29","13-16","226"
"65","Southern Ill.","33","17-16","225"
"66","New Orleans","29","18-11","224"
"","North Dakota","28","19-9","224"
"","UT Arlington","31","24-7","224"
"","Idaho St.","31","5-26","224"
"","Loyola Maryland","31","15-16","224"
"","Manhattan","32","10-22","224"
"","Marquette","30","19-11","224"
"73","Notre Dame","31","23-8","223"
"","Villanova","31","28-3","223"
"","Canisius","33","18-15","223"
"","Saint Peter's","32","19-13","223"
"77","North Carolina","32","26-6","222"
"","Penn St.","32","15-17","222"
"","Furman","32","21-11","222"
"","Georgia St.","30","19-11","222"
"81","BYU","33","22-11","221"
"","Cleveland St.","31","9-22","221"
"83","St. John's (NY)","32","14-18","220"
"","Bowling Green","32","13-19","220"
"","South Dakota","33","22-11","220"
"86","Rider","33","18-15","219"
"","Southern California","31","23-8","219"
"88","UT Martin","33","21-12","218"
"","Texas Southern","32","21-11","218"
"","Southeastern La.","32","16-16","218"
"","St. Bonaventure","30","19-11","218"
"","Lipscomb","33","20-13","218"
"","Mississippi Val.","32","7-25","218"
"","Loyola Chicago","32","18-14","218"
"","Bryant","32","12-20","218"
"96","Wisconsin","31","23-8","217"
"","San Diego St.","31","18-13","217"
"","IUPUI","32","14-18","217"
"","Kansas","31","28-3","217"
"","Sacred Heart","32","13-19","217"
"101","Memphis","31","19-12","216"
"102","Tennessee Tech","32","12-20","215"
"","Lehigh","32","20-12","215"
"","Saint Francis (PA)","32","16-16","215"
"105","Samford","34","19-15","214"
"106","Oklahoma","31","11-20","213"
"","DePaul","32","9-23","213"
"","Rutgers","32","15-17","213"
"","Louisville","31","24-7","213"
"110","Ga. Southern","31","18-13","212"
"","SFA","30","17-13","212"
"","Kent St.","32","19-13","212"
"113","Louisiana Tech","31","22-9","211"
"","Mt. St. Mary's","34","19-15","211"
"","Nebraska","31","12-19","211"
"","Stanford","31","14-17","211"
"117","San Francisco","32","20-12","210"
"","Providence","31","20-11","210"
"","UMKC","31","16-15","210"
"","Middle Tenn.","31","27-4","210"
"","Winthrop","32","26-6","210"
"122","Liberty","32","19-13","209"
"","American","30","8-22","209"
"","Seton Hall","30","20-10","209"
"","Ole Miss","31","19-12","209"
"126","St. Francis Brooklyn","31","4-27","208"
"","Chicago St.","31","6-25","208"
"128","Georgia Tech","32","17-15","207"
"129","Richmond","30","19-11","206"
"130","Oregon","31","27-4","205"
"131","Valparaiso","32","24-8","204"
"","Indiana St.","31","11-20","204"
"133","Bradley","33","13-20","203"
"","TCU","32","18-14","203"
"","NJIT","31","11-20","203"
"","Detroit Mercy","31","8-23","203"
"137","Morehead St.","30","14-16","202"
"","UMBC","30","18-12","202"
"","FGCU","33","26-7","202"
"","Temple","31","16-15","202"
"141","CSUN","29","11-18","201"
"","Tennessee St.","30","17-13","201"
"143","Troy","33","19-14","199"
"","North Texas","30","8-22","199"
"","Marshall","32","18-14","199"
"","Western Caro.","32","9-23","199"
"","Siena","34","17-17","199"
"148","Murray St.","33","16-17","198"
"","Eastern Ill.","29","14-15","198"
"","Rice","32","22-10","198"
"","Rhode Island","30","21-9","198"
"152","UCLA","31","28-3","197"
"","UNI","30","14-16","197"
"","Miami (FL)","31","21-10","197"
"","Jackson St.","32","14-18","197"
"","Florida A&M","30","7-23","197"
"","Indiana","31","17-14","197"
"","Missouri","31","8-23","197"
"159","Northwestern St.","29","13-16","196"
"","Xavier","32","20-12","196"
"","Texas St.","30","18-12","196"
"162","Cal St. Fullerton","29","16-13","195"
"163","Northern Ky.","34","24-10","194"
"","James Madison","33","10-23","194"
"","Alcorn","30","17-13","194"
"","Creighton","31","23-8","194"
"167","Long Beach St.","32","14-18","193"
"","Arizona St.","32","15-17","193"
"","Air Force","32","12-20","193"
"170","Columbia","27","11-16","192"
"","Old Dominion","30","19-11","192"
"172","Col. of Charleston","34","25-9","191"
"","Vermont","33","28-5","191"
"174","Charlotte","30","13-17","190"
"","Seattle U","29","13-16","190"
"176","UNLV","32","11-21","189"
"","Fairleigh Dickinson","30","11-19","189"
"","Alabama","30","17-13","189"
"","Duke","32","24-8","189"
"180","VMI","30","6-24","188"
"","Drake","31","7-24","188"
"182","Utah","30","20-10","187"
"","Coppin St.","33","8-25","187"
"","Kentucky","31","26-5","187"
"","Youngstown St.","34","13-21","187"
"","Drexel","32","9-23","187"
"187","Tulane","30","6-24","186"
"","Wofford","33","16-17","186"
"","LSU","31","10-21","186"
"","LIU Brooklyn","32","20-12","186"
"","Princeton","27","21-6","186"
"192","Texas","32","11-21","185"
"","North Florida","34","15-19","185"
"","La Salle","29","15-14","185"
"","FIU","31","7-24","185"
"","Washington","30","9-21","185"
"","Ball St.","31","20-11","185"
"","Eastern Ky.","31","12-19","185"
"199","Texas A&M","30","16-14","184"
"","Houston Baptist","29","17-12","184"
"","New Mexico","30","17-13","184"
"","High Point","31","15-16","184"
"","SMU","31","27-4","184"
"","UMES","32","13-19","184"
"","San Jose St.","29","14-15","184"
"206","N.C. Central","31","23-8","183"
"","North Dakota St.","30","19-11","183"
"","Colorado St.","31","21-10","183"
"","Little Rock","32","15-17","183"
"","Butler","30","23-7","183"
"","Southern U.","32","15-17","183"
"212","Minnesota","31","23-8","182"
"213","Southern Utah","32","6-26","181"
"","Montana St.","32","16-16","181"
"","Wright St.","32","20-12","181"
"","Western Mich.","31","16-15","181"
"217","Central Mich.","32","16-16","180"
"","Buffalo","31","17-14","180"
"219","UTSA","32","14-18","179"
"","UC Riverside","27","7-20","179"
"","Boston College","32","9-23","179"
"","Michigan","31","20-11","179"
"223","Quinnipiac","31","10-21","178"
"","Virginia","31","22-9","178"
"","Central Ark.","32","8-24","178"
"","UC Davis","31","19-12","178"
"","Army West Point","32","13-19","178"
"228","Utah Valley","29","14-15","177"
"","Oregon St.","32","5-27","177"
"","Delaware St.","32","10-22","177"
"","South Dakota St.","34","18-16","177"
"","Penn","27","13-14","177"
"233","Missouri St.","33","17-16","176"
"","Charleston So.","31","12-19","176"
"","Albany (NY)","33","21-12","176"
"","Delaware","33","13-20","176"
"237","Longwood","30","6-24","175"
"","Wake Forest","32","19-13","175"
"","Ill.-Chicago","33","15-18","175"
"","Arizona","31","27-4","175"
"","Georgetown","32","14-18","175"
"","Montana","31","16-15","175"
"243","South Fla.","29","7-22","174"
"244","Coastal Caro.","32","16-16","173"
"245","Niagara","33","10-23","172"
"","Ohio","29","19-10","172"
"","Arkansas St.","32","20-12","172"
"","Wyoming","32","18-14","172"
"","Evansville","33","16-17","172"
"250","Austin Peay","30","11-19","171"
"","Harvard","27","18-9","171"
"","Georgia","31","18-13","171"
"","Fla. Atlantic","30","10-20","171"
"254","Santa Clara","33","17-16","170"
"","Northeastern","31","15-16","170"
"256","Texas Tech","32","18-14","169"
"","USC Upstate","32","17-15","169"
"","Tennessee","31","16-15","169"
"259","Illinois","31","18-13","168"
"260","William & Mary","31","17-14","167"
"","Akron","31","24-7","167"
"","George Washington","31","18-13","167"
"","Binghamton","32","12-20","167"
"","Appalachian St.","30","9-21","167"
"265","Nevada","31","25-6","166"
"","Ohio St.","32","17-15","166"
"","Howard","33","10-23","166"
"","Central Conn. St.","29","6-23","166"
"","Stony Brook","31","18-13","166"
"270","UTEP","30","14-16","165"
"","Elon","32","18-14","165"
"","Morgan St.","29","14-15","165"
"","Maryland","31","24-7","165"
"","Maine","32","7-25","165"
"275","Milwaukee","35","11-24","164"
"","Colgate","32","10-22","164"
"","Colorado","32","19-13","164"
"278","Kennesaw St.","32","14-18","163"
"","Portland","33","11-22","163"
"280","North Carolina St.","32","15-17","162"
"","Saint Louis","32","12-20","162"
"","Oral Roberts","30","8-22","162"
"283","Fairfield","30","16-14","161"
"284","Houston","30","21-9","160"
"285","Norfolk St.","31","16-15","159"
"","George Mason","31","19-12","159"
"","UC Irvine","32","19-13","159"
"","McNeese","29","7-22","159"
"289","Purdue","31","25-6","158"
"","East Carolina","31","14-17","158"
"","Davidson","29","15-14","158"
"292","Northwestern","31","21-10","157"
"","Pepperdine","31","9-22","157"
"","Cal Poly","30","11-19","157"
"","Baylor","31","25-6","157"
"","Duquesne","32","10-22","157"
"297","Jacksonville St.","34","20-14","156"
"298","Stetson","32","11-21","155"
"299","Weber St.","29","17-12","154"
"","South Carolina St.","31","11-20","154"
"301","Radford","32","14-18","153"
"","UAB","32","17-15","153"
"","Yale","27","17-10","153"
"304","California","31","20-11","151"
"305","Saint Joseph's","31","11-20","150"
"","Alabama St.","31","8-23","150"
"","Denver","30","16-14","150"
"","Cornell","29","8-21","150"
"309","La.-Monroe","32","9-23","148"
"","UC Santa Barbara","28","6-22","148"
"","Lafayette","30","9-21","148"
"312","Northern Colo.","29","11-18","147"
"313","Marist","32","8-24","146"
"","Wagner","30","16-14","146"
"315","Southern Miss.","31","9-22","145"
"","Boise St.","29","19-10","145"
"","Eastern Wash.","31","21-10","145"
"318","N.C. A&T","32","3-29","144"
"319","Northern Ariz.","32","9-23","143"
"","Western Ky.","32","15-17","143"
"","Presbyterian","30","5-25","143"
"322","Hofstra","32","15-17","142"
"","SIUE","30","6-24","142"
"324","Idaho","29","17-12","141"
"","Hawaii","29","14-15","141"
"326","Pacific","33","11-22","140"
"","Utah St.","29","13-16","140"
"328","Michigan St.","31","18-13","139"
"","Sacramento St.","30","13-17","139"
"330","Tulsa","30","14-16","138"
"331","New Mexico St.","30","25-5","137"
"332","Hampton","29","14-15","136"
"333","Mercer","32","15-17","134"
"334","St. Mary's (CA)","32","28-4","133"
"335","Toledo","32","17-15","131"
"","Washington St.","31","13-18","131"
"","UConn","30","14-16","131"
"338","Western Ill.","28","8-20","130"
"339","New Hampshire","32","20-12","129"
"340","Vanderbilt","31","17-14","128"
"341","Pittsburgh","33","16-17","127"
"342","Dartmouth","27","7-20","126"
"343","Virginia Tech","31","22-9","125"
"","Belmont","28","22-6","125"
"345","San Diego","31","13-18","121"
"346","UCF","30","20-10","113"
"347","Alabama A&M","29","2-27","103"
Reclassifying
"NR","Grand Canyon","31","22-9","233"
"NR","Abilene Christian","29","13-16","210"
"NR","UMass Lowell","31","11-20","171"
"NR","Incarnate Word","29","12-17","168"

NCAA Men's Basketball
Division IFewest Turnovers
Through Games 03/08/2017


"Rank","Name","GM","W-L","TO"
"1","Princeton","27","21-6","273"
"2","Michigan","31","20-11","293"
"3","Virginia","31","22-9","295"
"4","Notre Dame","31","23-8","298"
"5","Houston","30","21-9","300"
"6","Butler","30","23-7","304"
"7","Iowa St.","30","20-10","305"
"8","Stony Brook","31","18-13","318"
"","Cal Poly","30","11-19","318"
"10","Northwestern","31","21-10","319"
"11","Cincinnati","31","27-4","320"
"12","Middle Tenn.","31","27-4","327"
"13","SMU","31","27-4","333"
"","Weber St.","29","17-12","333"
"15","Montana","31","16-15","336"
"","Liberty","32","19-13","336"
"17","Arizona St.","32","15-17","337"
"","Old Dominion","30","19-11","337"
"","St. Mary's (CA)","32","28-4","337"
"20","Rhode Island","30","21-9","338"
"21","Hofstra","32","15-17","341"
"","Santa Clara","33","17-16","341"
"","UC Santa Barbara","28","6-22","341"
"24","UNI","30","14-16","342"
"","Wisconsin","31","23-8","342"
"26","Texas St.","30","18-12","344"
"","Clemson","32","17-15","344"
"28","Colorado St.","31","21-10","346"
"","Nevada","31","25-6","346"
"","Penn","27","13-14","346"
"31","Columbia","27","11-16","347"
"","Villanova","31","28-3","347"
"33","North Dakota St.","30","19-11","348"
"","Fla. Atlantic","30","10-20","348"
"35","Louisville","31","24-7","349"
"36","UMBC","30","18-12","350"
"37","Holy Cross","32","15-17","351"
"38","Southern California","31","23-8","352"
"39","Davidson","29","15-14","353"
"","Belmont","28","22-6","353"
"","Col. of Charleston","34","25-9","353"
"42","Arizona","31","27-4","354"
"","UCLA","31","28-3","354"
"","UNCW","34","29-5","354"
"","Saint Peter's","32","19-13","354"
"","Sacramento St.","30","13-17","354"
"","Texas Tech","32","18-14","354"
"48","Temple","31","16-15","355"
"49","Texas Southern","32","21-11","356"
"50","Richmond","30","19-11","357"
"51","Memphis","31","19-12","358"
"","Charleston So.","31","12-19","358"
"53","Oral Roberts","30","8-22","360"
"54","Portland St.","30","15-15","361"
"","Akron","31","24-7","361"
"56","Yale","27","17-10","362"
"","Stetson","32","11-21","362"
"","Central Mich.","32","16-16","362"
"","Florida St.","31","24-7","362"
"60","Arkansas","31","23-8","363"
"61","Duke","32","24-8","364"
"","UConn","30","14-16","364"
"","Dayton","30","24-6","364"
"64","Minnesota","31","23-8","365"
"","Harvard","27","18-9","365"
"66","Charlotte","30","13-17","366"
"","San Diego St.","31","18-13","366"
"68","Mercer","32","15-17","367"
"69","Marquette","30","19-11","368"
"","Ohio","29","19-10","368"
"71","Western Ill.","28","8-20","369"
"","UNC Asheville","32","23-9","369"
"","Florida","31","24-7","369"
"74","Eastern Ill.","29","14-15","370"
"75","Kentucky","31","26-5","371"
"","Oregon","31","27-4","371"
"","Saint Joseph's","31","11-20","371"
"","Ga. Southern","31","18-13","371"
"79","Utah St.","29","13-16","372"
"","Boise St.","29","19-10","372"
"81","Virginia Tech","31","22-9","373"
"","Austin Peay","30","11-19","373"
"","Gonzaga","33","32-1","373"
"","Idaho","29","17-12","373"
"85","Elon","32","18-14","374"
"86","Missouri","31","8-23","375"
"87","North Dakota","28","19-9","376"
"88","Loyola Chicago","32","18-14","377"
"","La Salle","29","15-14","377"
"90","Wake Forest","32","19-13","378"
"","St. Bonaventure","30","19-11","378"
"","UC Riverside","27","7-20","378"
"","Vermont","33","28-5","378"
"94","Wichita St.","34","30-4","379"
"","St. Francis Brooklyn","31","4-27","379"
"","San Diego","31","13-18","379"
"97","San Jose St.","29","14-15","380"
"","N.C. Central","31","23-8","380"
"","CSUN","29","11-18","380"
"100","Providence","31","20-11","381"
"","Creighton","31","23-8","381"
"102","Louisiana Tech","31","22-9","382"
"103","West Virginia","31","24-7","383"
"","South Carolina St.","31","11-20","383"
"","Illinois","31","18-13","383"
"","Eastern Wash.","31","21-10","383"
"107","Alabama A&M","29","2-27","384"
"","North Carolina","32","26-6","384"
"109","Air Force","32","12-20","385"
"110","Eastern Mich.","32","16-16","386"
"","Pacific","33","11-22","386"
